会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
ステラ　ケミファ,4109,化学,プライム（内国株式）,JP,2025-03-31,大阪府,62509654016.0,1.392132,18.03614,21.413536,22.437203804676912,0.6888,0.031835206,247.04,293.3,153.48000309455617,36288000000.0,4339000000.0,0.122530006,2892000000.0,0.0,0.05662,0.7369452449567724,15734000000.0,9784000000.0,29839000000.0,5373000000.0,16643000000.0,3163000000.0,16319100000.0,0.2610652747465688
ＧＭＯコマース,410A,サービス業,グロース（内国株式）,JP,2024-12-31,東京都,5619302400.0,2.1026917,,25.775883,,0.0,0.0,42.21,,,1983989000.0,348734000.0,0.17378001,218251000.0,0.13908,0.20583999,0.2940907008703619,1314473000.0,1274243000.0,1605734000.0,,819715000.0,,291261000.0,0.0518322345492565
保土谷化学工業,4112,化学,プライム（内国株式）,JP,2025-03-31,東京都,36822130688.0,0.7020685,3.998273,19.762678,11.017800157510376,0.4052,0.0095217945,117.14,579.0,156.27380733783662,48578000000.0,4884000000.0,0.07509,3178000000.0,0.04992,0.05903,0.608567707681134,21330000000.0,13880000000.0,36381000000.0,8787000000.0,10774000000.0,10223000000.0,22207100000.0,0.6030911189839727
田岡化学工業,4113,化学,スタンダード（内国株式）,JP,2025-03-31,大阪府,16606876672.0,0.86530185,10.376007,8.779638,13.600186791847042,0.303,0.033755273,132.01,111.7,57.22650354786875,29930000000.0,1887000000.0,0.047220003,1478000000.0,0.0,0.09206,0.6083796494228303,11908000000.0,8282000000.0,16226000000.0,1490000000.0,1182000000.0,88000000.0,4379600000.0,0.2637220764928192
日本触媒,4114,化学,プライム（内国株式）,JP,2025-03-31,大阪府,362226450432.0,0.9342379,25.120403,23.094677,19.12471521638161,1.0351,0.044697277,106.15,97.59,70.46427817002835,409346000000.0,19063000000.0,0.062280003,17394000000.0,0.04434,0.04674,0.7045390584907083,151125000000.0,107171000000.0,255451000000.0,41391000000.0,54565000000.0,38479000000.0,131261300000.0,0.3623735921091753
大日精化工業,4116,化学,プライム（内国株式）,JP,2025-03-31,東京都,83381280768.0,0.63672686,,13.908265,13.194640466439669,0.41849998,0.029817443,351.23,,207.94999654837096,124760000000.0,7007000000.0,0.06554,10289000000.0,0.055359997,0.053839996,0.6504847955118302,66290000000.0,50069000000.0,110147000000.0,21042000000.0,24251000000.0,18514000000.0,56816800000.0,0.6814095379283872
カネカ,4118,化学,プライム（内国株式）,JP,2025-03-31,東京都,310111404032.0,0.643055,11.658783,12.270027,9.99558112412942,0.3609,0.029177204,415.81,437.61,356.8700011111844,807200000000.0,40050000000.0,0.03601,25309000000.0,0.032420002,0.05547,0.5128920178711353,427727000000.0,294933000000.0,444524000000.0,223058000000.0,45639000000.0,61184000000.0,59625800000.0,0.192272193878582
日本ピグメントホールディングス,4119,化学,スタンダード（内国株式）,JP,2025-03-31,東京都,7235597824.0,0.34546036,,,6.15084553674372,0.0312,0.021645023,-811.82,,471.86601950282886,37921166000.0,176568000.0,0.052399997,5026157000.0,-0.0226,-0.04125,0.4453305064701674,22825288000.0,15569276000.0,25205310000.0,6636548000.0,4261463000.0,9069841000.0,8728910700.0,1.206384173405379
スガイ化学工業,4120,化学,スタンダード（内国株式）,JP,2025-03-31,和歌山県,3083073280.0,0.39433718,,6.5919943,7.633385187852685,0.19549999,0.0,358.01,,374.5061255742726,6622426000.0,541314000.0,-0.05949,363122000.0,0.02843,0.022909999,0.6493472829413546,4024450000.0,2786327000.0,5501903000.0,1986835000.0,409418000.0,1763585000.0,2711962500.0,0.8796295947918565
大阪油化工業,4124,化学,スタンダード（内国株式）,JP,2025-09-30,大阪府,2071720704.0,2.114437,,,25230.384431238974,583.33325,0.014717907,-30.83,,0.0595717368620299,1178074000.0,139088000.0,0.16555999,-32110000.0,0.01506,0.01195,0.8875723225437276,208657000.0,201543000.0,1103935000.0,,872761000.0,,895278000.0,0.4321422276040544
三和油化工業,4125,化学,スタンダード（内国株式）,JP,2025-03-31,愛知県,12585074688.0,0.96920216,11.432496,17.00724,10.083006138301474,0.25120002,0.014376462,171.28,254.8,241.30401101080864,16040490000.0,2737396000.0,0.08209,591472000.0,0.046129998,0.06413,0.5972919736357465,8123370000.0,4174105000.0,6077525000.0,5062006000.0,1626575000.0,660720000.0,-1583341000.0,-0.1258110133831571
オーバーラップホールディングス,414A,情報・通信業,グロース（内国株式）,JP,2025-08-31,東京都,20800000000.0,2.688033,,10.059973,,0.0,0.0,103.38,,,8535000000.0,3027000000.0,0.26334998,2067000000.0,0.23395,,0.4375773889636608,10447000000.0,2934000000.0,6539000000.0,6638000000.0,2796000000.0,73000000.0,-3856900000.0,-0.1854278846153846
協和キリン,4151,医薬品,プライム（内国株式）,JP,2024-12-31,東京都,1454511882240.0,1.6281768,20.026669,21.69178,14.935415568097367,0.48409998,0.0,128.09,138.74,151.00964786816712,495558000000.0,91866000000.0,0.16529,59870000000.0,0.13494,0.076869994,0.79711494589938,216552000000.0,164675000000.0,504026000000.0,,244681000000.0,32800000000.0,310434000000.0,0.2134283011300812
ＧＭＯ　ＴＥＣＨホールディングス,415A,サービス業,グロース（内国株式）,JP,2024-12-31,東京都,5549971456.0,1.5922675,,15.999755,,0.9393,0.0,326.88,,,6868000000.0,899000000.0,0.0,669000000.0,0.0,,0.4412721358872425,1546000000.0,1393000000.0,2428000000.0,210000000.0,1264000000.0,20000000.0,896000000.0,0.1614422717492261
プレイド,4165,情報・通信業,グロース（内国株式）,JP,2025-09-30,東京都,20642600960.0,4.0689535,120.04773,18.902668,125.095542571368,0.0,0.0,26.61,4.19,7.849999926574212,13396474000.0,1431875000.0,0.08112001,1099057000.0,0.07248,0.22508,0.4960011806437845,4836619000.0,3624349000.0,8325908000.0,1821026000.0,6601979000.0,338961000.0,3726561700.0,0.1805277206695565
かっこ,4166,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,1951115648.0,2.7793996,,,-7.446597160888196,0.0,0.0,-62.76,,-121.12915208272304,734021000.0,-244514000.0,-0.22368999,-255031000.0,-0.16728,-0.17862,0.8116573602204287,193103000.0,125141000.0,863362000.0,82135000.0,734621000.0,66981000.0,717145700.0,0.3675567364421035
ココペリ,4167,情報・通信業,グロース（内国株式）,JP,2025-03-31,東京都,2223283968.0,1.3656665,16.404495,,92.01877388019427,0.0,0.0,-3.18,17.8,4.260000252887225,2007546000.0,197863000.0,-0.57727003,125877000.0,-0.14861,-0.15001,0.7836976644610879,525887000.0,383596000.0,1570180000.0,175739000.0,1394162000.0,,1044293000.0,0.4697074305534685
ヤプリ,4168,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,9202026496.0,3.1268432,,12.422467,-170.04109080325406,0.1033,0.0,58.04,,-5.828490878855133,5511193000.0,550904000.0,0.099309996,748542000.0,0.15192,0.35749,0.5380397476948736,1879003000.0,744195000.0,2811967000.0,1362602000.0,1959803000.0,,932964000.0,0.1013867978325803
ＥＮＥＣＨＡＮＧＥ,4169,情報・通信業,グロース（内国株式）,JP,2025-03-31,東京都,11076606976.0,2.4327245,8.75,,-21.26717183398476,0.0,0.0,-176.43,29.6,-44.01149373816973,4379001000.0,-2125018000.0,0.12494001,-4985167000.0,-0.28329,-0.5276,0.6141174061057695,2860063000.0,2393447000.0,5475642000.0,1114350000.0,4263507000.0,1419994000.0,3609574800.0,0.325873691087981
富士ユナイトホールディングス,416A,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,8589391872.0,0.9016646,,11.96181,,0.8082,0.044444446,108.93,,,68344000000.0,800000000.0,0.016239999,717000000.0,0.01051,0.08091,0.4595575939993311,11312000000.0,8483000000.0,13844000000.0,2030000000.0,5741000000.0,110000000.0,2609000000.0,0.3037467656476251
Ｋａｉｚｅｎ　Ｐｌａｔｆｏｒｍ,4170,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,2926134784.0,0.98128146,14.333333,,-200.92324912426253,0.0,0.0,-6.35,12.0,-1.289049431207533,4523816000.0,-28549000.0,-0.035520002,-171975000.0,0.00666,0.00977,0.6693383884436773,1461028000.0,748727000.0,3677165000.0,914711000.0,2911348000.0,94539000.0,2282314300.0,0.7799757934868936
グローバルインフォメーション,4171,情報・通信業,スタンダード（内国株式）,JP,2024-12-31,神奈川県,4164551680.0,1.6526102,,15.243372,9.479158797705006,0.6082,0.0,92.04,,129.56001912474838,2749260000.0,437789000.0,0.0625,315061000.0,0.09038,0.093,0.7802195753528325,695293000.0,390094000.0,3067076000.0,,2669654000.0,,2371783000.0,0.5695170050092883
Ｈｉクラテス,4172,情報・通信業,スタンダード（内国株式）,JP,2025-09-30,岡山県,5409183232.0,1.2790694,13.159891,12.077199,10.120062705089328,0.4375,0.0,201.04,184.5,180.34936183429772,2406943000.0,549606000.0,0.29747,448093000.0,0.185,0.10939,0.88863668515345,525850000.0,466264000.0,2442113000.0,,1497087000.0,1284780000.0,2815609000.0,0.5205238719485847
アピリッツ,4174,情報・通信業,スタンダード（内国株式）,JP,2025-01-31,東京都,2662137344.0,1.2077605,4.8670607,111.12985,12.137811674953186,3.7225,0.033536587,5.93,135.4,89.84999146436594,9008810000.0,185629000.0,-0.04281,45968000.0,-0.00202,-0.00942,0.4157087041703595,3365550000.0,2184166000.0,4444578000.0,1766007000.0,2293950000.0,,1079028000.0,0.4053239410926501
ｃｏｌｙ,4175,情報・通信業,グロース（内国株式）,JP,2025-01-31,,10158059520.0,1.9361165,,67.102875,-6.279504638000063,0.0,0.0,27.51,,-150.96732220933993,6500875000.0,-516473000.0,-0.13376,-546289000.0,-0.00961,,0.8362176024048812,1029081000.0,997722000.0,4071095000.0,96664000.0,3357555000.0,1740664000.0,4260478800.0,0.419418570211331
ココナラ,4176,情報・通信業,グロース（内国株式）,JP,2025-08-31,東京都,6638063616.0,2.63059,49.0,23.040752,33.6,0.0,0.0,12.76,6.0,10.0,9410783000.0,256122000.0,0.033099998,306904000.0,0.02866,0.0825,0.3814576662302137,3907973000.0,2778232000.0,4248143000.0,1224189000.0,2936000000.0,,340170000.0,0.0512453660703211
ｉ‐ｐｌｕｇ,4177,情報・通信業,グロース（内国株式）,JP,2025-03-31,大阪府,6082373632.0,3.6476471,10.961952,10.245572,-23.57906084059959,0.0,0.0,149.04,139.3,-49.15378130770912,5084450000.0,578502000.0,0.29334998,597925000.0,0.07853,0.3032,0.3650643624171605,2427778000.0,2282300000.0,2866785000.0,420818000.0,2509422000.0,15393000.0,449782100.0,0.0739484496042218
Ｓｈａｒｉｎｇ　Ｉｎｎｏｖａｔｉｏｎｓ,4178,情報・通信業,グロース（内国株式）,JP,2024-12-31,東京都,2115133952.0,1.314565,8.129497,33.11841,85.61485643724458,0.0,0.0,17.06,69.5,8.61999927011443,5169035000.0,239089000.0,0.03907,137018000.0,0.0051599997,0.014400001,0.6466716882148722,866396000.0,699835000.0,1818162000.0,239820000.0,1088929000.0,,951766000.0,0.4499790659121337
