会社名,銘柄コード,業種,優先市場,市場タイプ,決算月,都道府県,時価総額,PBR,PER(会予),PER(過去12ヶ月),PER(前年度),配当方向性,配当利回り,EPS(過去12ヶ月),EPS(予想),EPS(前年度),売上高,営業利益,営業利益率,当期純利益,純利益率,ROE,自己資本比率,負債,流動負債,流動資産,総負債,現金及び現金同等物,投資有価証券,ネットキャッシュ,ネットキャッシュ比率
コンセック,9895,卸売業,スタンダード（内国株式）,JP,2025-03-31,広島県,2302346496.0,0.28568918,,,10.26517766940401,0.4026,0.020470053,-87.83,,117.23647518126046,10297303000.0,-2540000.0,0.02261,-208268000.0,-0.01555,-0.01714,0.6627293833269676,3822216000.0,2695865000.0,5270478000.0,1458920000.0,1573578000.0,1460645000.0,2470713500.0,1.0731284384398758
ＪＫホールディングス,9896,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,41874456576.0,0.65169567,,10.394968,5.709139975998278,0.338,0.01651255,147.86,,174.6380514834636,393258000000.0,7358000000.0,0.02276,4283000000.0,0.00969,0.05939,0.28528757489864015,157262000000.0,136150000000.0,149625000000.0,32226000000.0,50704000000.0,4454000000.0,-4519200000.0,-0.10792259457260975
サガミホールディングス,9900,小売業,プライム（内国株式）,JP,2025-03-31,愛知県,56963260416.0,2.9542584,,36.495926,48.932660512105805,0.19379999,0.005197505,51.54,,30.14888962545575,35034150000.0,2058508000.0,0.062069997,1356062000.0,0.03865,0.080290005,0.704602929479056,7472717000.0,5857921000.0,8869242000.0,1908892000.0,6335572000.0,757896000.0,1927052200.0,0.033829738430118446
日伝,9902,卸売業,プライム（内国株式）,JP,2025-03-31,大阪府,73698131968.0,0.82521296,17.484234,14.5770035,16.858016935857144,0.409,0.027526543,171.16,142.7,151.79000161792425,134771000000.0,6825000000.0,0.04654,4892000000.0,0.03482,0.05495,0.7106946230178354,35102000000.0,26952000000.0,80310000000.0,4759000000.0,15557000000.0,15945000000.0,56369500000.0,0.7648701329970731
カンセキ,9903,小売業,スタンダード（内国株式）,JP,2025-02-28,,6665733632.0,0.5950487,,12.952768,-1.4456569067411744,0.1449,0.026578072,69.02,,-699.9839593952746,37065817000.0,538849000.0,0.03102,518415000.0,-0.0178,-0.063140005,0.2538944384407541,18113007000.0,14742496000.0,8959735000.0,11920145000.0,812445000.0,2566309000.0,-7356855700.0,-1.1036828211499705
ベリテ,9904,小売業,スタンダード（内国株式）,JP,2025-03-31,神奈川県,11070799872.0,1.3930382,,23.314285,19.61487244697583,1.1286,0.0,17.5,,18.500448709588174,7947000000.0,876000000.0,0.05106,569000000.0,-0.01798,-0.02575,0.5916313559322034,3084000000.0,3066000000.0,6321000000.0,1500000000.0,1988000000.0,,3237000000.0,0.29239079718051286
藤井産業,9906,卸売業,スタンダード（内国株式）,JP,2025-03-31,栃木県,35771265024.0,0.8961035,,7.293984,5.8500559726314725,0.2673,0.024532711,579.93,,432.3437449580802,96100124000.0,5360014000.0,0.05071,4123829000.0,0.050100002,0.13377,0.5645123847740816,26625587000.0,23856386000.0,50413385000.0,1575409000.0,19182125000.0,4061644000.0,26630948800.0,0.74447880951743
日本電計,9908,卸売業,スタンダード（内国株式）,JP,2025-03-31,東京都,29107040256.0,0.9484301,9.7983265,9.861745,8.89422904294027,0.3447,0.018028386,261.11,262.8,253.7500027978992,121235333000.0,4738148000.0,0.04927,2973182000.0,0.025139999,0.109280005,0.4031002812627885,43456011000.0,40305112000.0,65661676000.0,15223949000.0,10259515000.0,1649038000.0,23359991600.0,0.8025546876132372
日邦産業,9913,卸売業,スタンダード（内国株式）,JP,2025-03-31,愛知県,34364801024.0,2.039713,,24.272465,9.583013702374817,0.48630002,0.022028986,156.35,,162.7808920035367,44890000000.0,1976000000.0,0.054180004,1396000000.0,0.0,0.09494001,0.5089145496535796,15947000000.0,12220000000.0,18759000000.0,2800000000.0,6226000000.0,2166000000.0,4328200000.0,0.1259486413722353
植松商会,9914,卸売業,スタンダード（内国株式）,JP,2025-03-31,,2634516736.0,0.8218496,,32.15654,22.991044406352948,0.8203,0.0,36.54,,49.300616197183096,6306303000.0,44212000.0,0.022650002,86197000.0,0.0146200005,0.03059,0.6176708953772341,1910601000.0,1640245000.0,3076652000.0,45821000.0,599218000.0,1557861000.0,2256553700.0,0.856534205748162
ワットマン,9927,小売業,スタンダード（内国株式）,JP,2025-03-31,神奈川県,8477799424.0,2.316979,,27.02929,13.267472460146625,0.55799997,0.020661157,35.85,,52.568715072688356,8383058000.0,583772000.0,0.05568,345124000.0,0.0543,0.13324,0.6717310303563047,1661496000.0,1311624000.0,3581483000.0,432116000.0,1854020000.0,2374000.0,1921648800.0,0.22666834916617154
ミロク情報サービス,9928,情報・通信業,プライム（内国株式）,JP,2025-03-31,東京都,52222607360.0,1.644081,10.872818,10.787407,12.60015350915798,0.3401,0.031143827,161.67,160.4,137.84999929416117,46160000000.0,6289000000.0,0.15767999,4381000000.0,0.0,0.15952,0.6459155985969867,15695000000.0,13173000000.0,24629000000.0,6360000000.0,16722000000.0,2023000000.0,10350100000.0,0.19819194259395936
